"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"212046_x_at",-1.0120960892132,10.074501203728,-6.88589281261111,4.90000217069324e-10,4.75317617314512e-09,12.4725061147012
"236493_at",1.38538712471267,5.47477998935587,6.885151281735,4.91742163358731e-10,4.76837975275397e-09,12.4690378953634
"207819_s_at",1.97986920520583,6.48855103723359,6.88479562209598,4.92579825426089e-10,4.77565453683561e-09,12.4673744841439
"219926_at",-1.50750960523363,8.37946905426878,-6.88390164576543,4.94691593817637e-10,4.79442626675468e-09,12.463193513867
"227459_at",1.30847883867898,7.51887045543811,6.88299923689444,4.96832372749353e-10,4.81346573939337e-09,12.4589733014882
"242530_at",-1.19069009118004,7.97340177053518,-6.88252386771832,4.97963774126717e-10,4.82357140765917e-09,12.4567502652609
"237933_at",-1.26539884839659,7.64584881412222,-6.88179217578116,4.99710222929838e-10,4.83791427138225e-09,12.4533286571247
"231741_at",2.21715856585069,6.51743552578031,6.88137519220442,5.00708217257318e-10,4.84671709838247e-09,12.4513787762502
"204135_at",1.01191773050391,9.54173384391555,6.88070848769266,5.02307986770374e-10,4.85961843781939e-09,12.4482612481511
"228419_at",1.41065786932842,8.00423506052576,6.87884948288632,5.06795480131252e-10,4.89956125976422e-09,12.4395690589484
"209402_s_at",1.90819872797713,7.49343441666921,6.87740338577701,5.10313673885528e-10,4.93095553289284e-09,12.4328080886683
"205884_at",1.84223224190103,5.90031345463389,6.87528278411755,5.15516635628161e-10,4.97609423423698e-09,12.4228945066464
"202921_s_at",-1.05244561509429,10.385628514696,-6.87467247373482,5.17023759990713e-10,4.98933904808167e-09,12.4200415736654
"228556_at",1.03173703188009,7.11758789953353,6.87464700180214,5.17086756122943e-10,4.98933904808167e-09,12.4199225055281
"214619_at",-1.19796263787599,7.0103528729495,-6.87397234598897,5.18758056067879e-10,5.00369722996028e-09,12.4167688950229
"223611_s_at",-1.8715639326628,9.30912925923464,-6.87235709278726,5.22781225231985e-10,5.04072229053573e-09,12.4092190049041
"230220_at",-1.46452332131596,9.41940679132898,-6.87190509448335,5.23912554784655e-10,5.05073898578188e-09,12.4071064230093
"235692_at",-1.19456075088066,8.33180296299845,-6.87108016342794,5.25983569043196e-10,5.06804763771525e-09,12.403250929114
"1554530_at",-3.30843735816469,5.91979501016076,-6.87088153982254,5.26483429071258e-10,5.07104753295743e-09,12.4023226433373
"204858_s_at",1.10972869793903,8.54274183696777,6.87044036849248,5.27595372478495e-10,5.08086159004903e-09,12.4002608225807
"214853_s_at",1.18040594598081,11.002114483986,6.87037266177091,5.27766228502733e-10,5.08161090218966e-09,12.3999443983913
"219236_at",-1.81227080812742,11.393096064748,-6.87013642506662,5.28362794356641e-10,5.08645818582747e-09,12.3988403659371
"230894_s_at",1.78937812074547,7.1408570835372,6.86901200517133,5.31211443002032e-10,5.11207938972158e-09,12.3935856693263
"213844_at",2.19797087979705,7.86095201490633,6.86749454387769,5.35079958350235e-10,5.14658713726337e-09,12.3864946780961
"210415_s_at",2.17404196804747,5.51695831054391,6.86567914517268,5.39744673338548e-10,5.18597393473577e-09,12.3780121808701
"204841_s_at",1.19243163500589,8.20579659386107,6.86531120785132,5.40694993295338e-10,5.19374240133695e-09,12.3762930818753
